year,area,threshold,model
2031,14335566202490.523,n21,ukesm
2032,7600923064882.281,n21,ukesm
2033,4131033686673.3613,n21,ukesm
2034,19547772583035.516,n21,ukesm
2035,10623423187452.277,n21,ukesm
2036,25135559288292.99,n21,ukesm
2037,1516402855469.9497,n21,ukesm
2038,11043753710675.914,n21,ukesm
2039,2444950307975.9336,n21,ukesm
2040,19547097854086.336,n21,ukesm
2041,16326098472492.43,n21,ukesm
2042,24531287527434.875,n21,ukesm
2043,7886786353151.293,n21,ukesm
2044,8130130345941.615,n21,ukesm
2045,18253846177303.258,n21,ukesm
2046,61902879133077.234,n21,ukesm
2047,48327755300569.97,n21,ukesm
2048,16352461394851.342,n21,ukesm
2049,9330683407960.498,n21,ukesm
2050,79923344616469.47,n21,ukesm
2051,1786592104837.216,n21,ukesm
2052,6989443041344.245,n21,ukesm
2053,47737274082868.9,n21,ukesm
2054,9438997071063.223,n21,ukesm
2055,9518296301303.354,n21,ukesm
2056,63508041240184.72,n21,ukesm
2057,33373968162517.99,n21,ukesm
2058,50432717099080.8,n21,ukesm
2059,94714859306838.14,n21,ukesm
2060,25580403699714.65,n21,ukesm
2061,85533355366451.97,n21,ukesm
2062,29578243631373.43,n21,ukesm
2063,22132068452010.785,n21,ukesm
2064,9706003210033.445,n21,ukesm
2065,39397393248816.0,n21,ukesm
2066,18382834266692.945,n21,ukesm
2067,18041066869511.594,n21,ukesm
2068,75098543906751.92,n21,ukesm
2069,63523585523215.734,n21,ukesm
2070,68228278114524.0,n21,ukesm
2071,36272849964603.56,n21,ukesm
2072,127320767348710.0,n21,ukesm
2073,32823194749321.344,n21,ukesm
2074,89529271613396.94,n21,ukesm
2075,54890899451476.83,n21,ukesm
2076,68160314591180.39,n21,ukesm
2077,107059290070904.48,n21,ukesm
2078,69505836276801.08,n21,ukesm
2079,98619358971341.22,n21,ukesm
2080,27562047592137.777,n21,ukesm
2081,51678541759028.03,n21,ukesm
2082,41763722283452.2,n21,ukesm
2083,75583660243264.9,n21,ukesm
2084,43444405309251.14,n21,ukesm
2085,115425469164479.1,n21,ukesm
2086,71823189138486.03,n21,ukesm
2087,113391144101212.36,n21,ukesm
2088,76990846610420.05,n21,ukesm
2089,103530311575524.48,n21,ukesm
2090,34638895256540.02,n21,ukesm
2091,83904648858567.34,n21,ukesm
2092,85071787250243.12,n21,ukesm
2093,100800400984979.67,n21,ukesm
2094,139157159607006.36,n21,ukesm
2095,56852033068252.91,n21,ukesm
2096,57060487797542.375,n21,ukesm
2097,91222133929808.22,n21,ukesm
2098,117876042060514.56,n21,ukesm
2099,125092221644812.22,n21,ukesm
2100,102852499739852.12,n21,ukesm
2031,10010091528077.77,n21,mri
2032,511644299893.0784,n21,mri
2033,2089711454917.132,n21,mri
2034,5771722638273.279,n21,mri
2035,22129778044414.656,n21,mri
2036,3572861136828.515,n21,mri
2037,6638011734894.898,n21,mri
