year,area,threshold,model
2031,440186790906.7619,n21,ukesm
2032,940159309604.1567,n21,ukesm
2033,463696934759.1632,n21,ukesm
2034,993928922044.3098,n21,ukesm
2035,108639640602.86337,n21,ukesm
2036,135690654703.70645,n21,ukesm
2037,75294817530.15224,n21,ukesm
2038,315012540641.4062,n21,ukesm
2039,453406528053.3029,n21,ukesm
2040,736154145618.6578,n21,ukesm
2041,656805352781.8685,n21,ukesm
2042,253033102133.0431,n21,ukesm
2043,151772633311.88593,n21,ukesm
2044,630003916653.9703,n21,ukesm
2045,406639174007.75446,n21,ukesm
2046,843053717082.0131,n21,ukesm
2047,1389664063279.4802,n21,ukesm
2048,381037259332.6674,n21,ukesm
2049,313399485619.4314,n21,ukesm
2050,107820064702.32419,n21,ukesm
2051,399033729202.57605,n21,ukesm
2052,1097271334779.3109,n21,ukesm
2053,388789440170.63574,n21,ukesm
2054,1484811563109.056,n21,ukesm
2055,2736207304637.046,n21,ukesm
2056,1996097676853.434,n21,ukesm
2057,1188536690745.0798,n21,ukesm
2058,289448191931.4226,n21,ukesm
2059,985962054607.9645,n21,ukesm
2060,1804795128314.835,n21,ukesm
2061,1039770417569.8982,n21,ukesm
2062,817491050234.0848,n21,ukesm
2063,695807915318.3411,n21,ukesm
2064,1900440039585.606,n21,ukesm
2065,1950478692529.5952,n21,ukesm
2066,1684316244914.5854,n21,ukesm
2067,1781966157464.961,n21,ukesm
2068,1665386886255.626,n21,ukesm
2069,1022613686294.7312,n21,ukesm
2070,2555474710325.039,n21,ukesm
2071,1581644406573.8208,n21,ukesm
2072,1604917706703.4707,n21,ukesm
2073,2154878524159.5686,n21,ukesm
2074,1561121950745.3477,n21,ukesm
2075,1196664170778.6748,n21,ukesm
2076,3067167997791.801,n21,ukesm
2077,1329311860175.6377,n21,ukesm
2078,2501000567886.659,n21,ukesm
2079,1861133435412.467,n21,ukesm
2080,3537074636903.8516,n21,ukesm
2081,2222979940231.6934,n21,ukesm
2082,1420680327568.4883,n21,ukesm
2083,1589719266912.8752,n21,ukesm
2084,2872573299116.2617,n21,ukesm
2085,3269372453565.4604,n21,ukesm
2086,1584036752102.979,n21,ukesm
2087,2716556435744.378,n21,ukesm
2088,2697192926249.8516,n21,ukesm
2089,2713895037625.997,n21,ukesm
2090,3626066866410.369,n21,ukesm
2091,3004421255688.7695,n21,ukesm
2092,3159813117977.25,n21,ukesm
2093,1933082335937.8481,n21,ukesm
2094,2331720342917.92,n21,ukesm
2095,2733053222981.7505,n21,ukesm
2096,4162819531478.29,n21,ukesm
2097,2893372856056.4863,n21,ukesm
2098,3500066119773.791,n21,ukesm
2099,2328866003387.359,n21,ukesm
2100,3136905459097.075,n21,ukesm
2031,560628037464.1633,n15,ipsl
2032,1711183910058.5547,n15,ipsl
2033,385902174092.0115,n15,ipsl
2034,648430241921.4559,n15,ipsl
2035,1095728816545.4783,n15,ipsl
2036,593418501423.5,n15,ipsl
2037,274845948232.71512,n15,ipsl
2038,1792525899641.788,n15,ipsl
2039,1815731109025.4995,n15,ipsl
2040,490830258546.1086,n15,ipsl
2041,1642159856229.608,n15,ipsl
2042,840725768559.8931,n15,ipsl
2043,1856160024988.516,n15,ipsl
2044,1942944235718.816,n15,ipsl
2045,730936141662.8008,n15,ipsl
2046,1312607523627.4746,n15,ipsl
2047,1067880783914.0519,n15,ipsl
2048,1457114654597.0425,n15,ipsl
2049,1743858010701.3882,n15,ipsl
2050,985742771298.5266,n15,ipsl
2051,1138041867696.8384,n15,ipsl
2052,519128305901.62634,n15,ipsl
2053,1386398487820.2017,n15,ipsl
2054,1552479753713.671,n15,ipsl
2055,1903427311019.38,n15,ipsl
2056,1853292664641.3252,n15,ipsl
2057,2281383196715.958,n15,ipsl
2058,1781656528811.1792,n15,ipsl
2059,958103834126.9418,n15,ipsl
2060,1442483814695.3066,n15,ipsl
2061,1468490071292.5757,n15,ipsl
2062,1508370033680.3115,n15,ipsl
2063,818018270759.9937,n15,ipsl
2064,1748923560052.1042,n15,ipsl
2065,1498305780767.413,n15,ipsl
2066,2995679457452.815,n15,ipsl
2067,1631145670058.0674,n15,ipsl
2068,2734016060675.298,n15,ipsl
2069,1960437624096.1199,n15,ipsl
2070,1736457523168.5637,n15,ipsl
2071,1508203097435.2612,n15,ipsl
2072,1537029009408.3022,n15,ipsl
2073,1718029679211.3015,n15,ipsl
2074,2426825237575.7705,n15,ipsl
2075,1476143087826.0269,n15,ipsl
2076,1618442995746.918,n15,ipsl
2077,2571224017107.1226,n15,ipsl
2078,3549647164523.036,n15,ipsl
2079,2872431544560.8755,n15,ipsl
2080,3581806058360.3164,n15,ipsl
2081,2943671729927.87,n15,ipsl
2082,2514440436366.25,n15,ipsl
2083,1721757285931.9438,n15,ipsl
2084,3664818762404.1133,n15,ipsl
2085,1740195240591.2402,n15,ipsl
2086,3472911899491.809,n15,ipsl
2087,3213410088370.1113,n15,ipsl
2088,1800883287047.272,n15,ipsl
2089,3276940239331.8164,n15,ipsl
2090,4253600386652.389,n15,ipsl
2091,3430391556413.2324,n15,ipsl
2092,3343181864118.1836,n15,ipsl
2093,3666348354823.452,n15,ipsl
2094,3103088186809.7705,n15,ipsl
2095,3343355700377.8057,n15,ipsl
2096,3515388069773.587,n15,ipsl
2097,2976593976061.395,n15,ipsl
2098,4072737179808.968,n15,ipsl
