year,area,threshold,model
2031,352370813527.45483,n21,ukesm
2032,208608589381.57333,n21,ukesm
2033,110728684230.34425,n21,ukesm
2034,337145922747.2691,n21,ukesm
2035,292350503433.6924,n21,ukesm
2036,625923466595.0012,n21,ukesm
2037,54129151906.40598,n21,ukesm
2038,303358779314.96313,n21,ukesm
2039,90967922493.5824,n21,ukesm
2040,494541583702.95306,n21,ukesm
2041,402701825130.9248,n21,ukesm
2042,605213596071.688,n21,ukesm
2043,173309883994.07327,n21,ukesm
2044,232225172110.0171,n21,ukesm
2045,472362339721.5093,n21,ukesm
2046,1291905273817.5903,n21,ukesm
2047,943811256354.0862,n21,ukesm
2048,367181344066.6207,n21,ukesm
2049,247692134794.6338,n21,ukesm
2050,1702209377916.5454,n21,ukesm
2051,54921104129.5112,n21,ukesm
2052,223427476450.1525,n21,ukesm
2053,1012038956975.462,n21,ukesm
2054,278694589495.2124,n21,ukesm
2055,259684041050.5354,n21,ukesm
2056,1165574911320.5386,n21,ukesm
2057,891152516236.5415,n21,ukesm
2058,1594216046119.5635,n21,ukesm
2059,2069896433747.2485,n21,ukesm
2060,565420109375.7827,n21,ukesm
2061,1799076709144.3247,n21,ukesm
2062,936675268550.3302,n21,ukesm
2063,484102401917.24445,n21,ukesm
2064,283553663280.933,n21,ukesm
2065,999072873675.9417,n21,ukesm
2066,473333439075.3435,n21,ukesm
2067,523557339945.083,n21,ukesm
2068,1760808495624.7283,n21,ukesm
2069,1403377006274.85,n21,ukesm
2070,1625216502540.1257,n21,ukesm
2071,1126006787348.624,n21,ukesm
2072,2842389389152.177,n21,ukesm
2073,673776181127.9042,n21,ukesm
2074,1781139712061.6877,n21,ukesm
2075,991325449918.8274,n21,ukesm
2076,1406325020361.3738,n21,ukesm
2077,2104768532409.4119,n21,ukesm
2078,1437396981129.8115,n21,ukesm
2079,2099243284560.5503,n21,ukesm
2080,550938654895.5339,n21,ukesm
2081,1247481964820.3481,n21,ukesm
2082,947178906561.4044,n21,ukesm
2083,1508317605376.9338,n21,ukesm
2084,1293830849696.7183,n21,ukesm
2085,2590559221106.6006,n21,ukesm
2086,1598933699953.3662,n21,ukesm
2087,2558221426105.83,n21,ukesm
2088,1553245579877.4714,n21,ukesm
2089,2318134404620.7217,n21,ukesm
2090,880871732571.4661,n21,ukesm
2091,1750555620852.196,n21,ukesm
2092,1818896193699.2795,n21,ukesm
2093,1954126167697.3157,n21,ukesm
2094,3128279493355.974,n21,ukesm
2095,1331632789892.8704,n21,ukesm
2096,1045157954326.2777,n21,ukesm
2097,1863795910699.7324,n21,ukesm
2098,2700607420685.152,n21,ukesm
2099,2843263097887.756,n21,ukesm
2100,2342309490555.992,n21,ukesm
2031,632820408284.6162,n15,ipsl
2032,681156182692.9966,n15,ipsl
2033,1195493360635.6143,n15,ipsl
2034,941215174075.5433,n15,ipsl
2035,534625746672.73145,n15,ipsl
2036,1053843157935.781,n15,ipsl
2037,882512803076.7063,n15,ipsl
2038,1275572995025.106,n15,ipsl
2039,1863022664226.1724,n15,ipsl
2040,1854668963416.4585,n15,ipsl
2041,556946418586.3182,n15,ipsl
2042,929023739008.8947,n15,ipsl
2043,601580180104.0183,n15,ipsl
2044,679931565999.8728,n15,ipsl
2045,506888549561.10065,n15,ipsl
2046,1160724472263.9985,n15,ipsl
2047,1376564027266.794,n15,ipsl
2048,1185078741561.9897,n15,ipsl
2049,838652888567.7511,n15,ipsl
2050,1795006153155.9363,n15,ipsl
2051,1645464669399.662,n15,ipsl
2052,677755873365.8673,n15,ipsl
2053,1026693224351.7395,n15,ipsl
2054,713916151827.0549,n15,ipsl
2055,1967441762646.6309,n15,ipsl
2056,1091510976533.9619,n15,ipsl
2057,1702388036249.7515,n15,ipsl
2058,1162522521904.0786,n15,ipsl
2059,1912657752134.559,n15,ipsl
2060,1268084563946.7544,n15,ipsl
2061,1859425732703.063,n15,ipsl
2062,1482202051485.629,n15,ipsl
2063,2809020190403.084,n15,ipsl
2064,1510437446454.1296,n15,ipsl
2065,1355593415142.1394,n15,ipsl
2066,1072609429863.8314,n15,ipsl
2067,2170935867649.1907,n15,ipsl
2068,1780538940055.722,n15,ipsl
2069,1371578586587.2085,n15,ipsl
2070,543838604106.5403,n15,ipsl
2071,1052066873456.5203,n15,ipsl
2072,3593339979005.007,n15,ipsl
2073,1207712317253.2812,n15,ipsl
2074,1633752648336.867,n15,ipsl
2075,2350030527584.439,n15,ipsl
2076,1939276741127.5461,n15,ipsl
2077,1985872934557.1,n15,ipsl
2078,2301272894568.648,n15,ipsl
2079,3376665046267.7666,n15,ipsl
2080,1406710526045.4956,n15,ipsl
2081,1388788490251.7495,n15,ipsl
2082,3364197604537.0786,n15,ipsl
2083,3228150944176.8936,n15,ipsl
2084,2298131049525.0186,n15,ipsl
2085,2923694894669.178,n15,ipsl
2086,1833070101762.1357,n15,ipsl
2087,1402624056495.3296,n15,ipsl
2088,1457717812849.549,n15,ipsl
2089,3172118461196.423,n15,ipsl
2090,1905128284562.3955,n15,ipsl
2091,2757734401363.956,n15,ipsl
2092,1952467411123.983,n15,ipsl
2093,2895265944734.9277,n15,ipsl
2094,3368771331095.536,n15,ipsl
2095,1370182786563.2676,n15,ipsl
2096,1384819041068.1597,n15,ipsl
2097,3194793259451.6606,n15,ipsl
2098,3486941864422.381,n15,ipsl
2099,2719799836311.737,n15,ipsl
2100,2089216543906.0957,n15,ipsl
2031,601210734516.1826,n15,gfdl
2032,568262308318.8777,n15,gfdl
2033,749148144138.3398,n15,gfdl
2034,765561318734.4098,n15,gfdl
2035,541782647914.90283,n15,gfdl
2036,1728802485748.3057,n15,gfdl
2037,1008338256623.3822,n15,gfdl
2038,1270492581211.6152,n15,gfdl
2039,741304051524.0638,n15,gfdl
2040,673562056103.0657,n15,gfdl
2041,521209943976.7302,n15,gfdl
2042,686388505821.6963,n15,gfdl
2043,475742320346.62164,n15,gfdl
2044,878318276348.8271,n15,gfdl
2045,1695346231401.4087,n15,gfdl
2046,1041234520296.2516,n15,gfdl
2047,1279174167971.745,n15,gfdl
2048,716204171111.266,n15,gfdl
2049,781369247745.1727,n15,gfdl
2050,683022901073.745,n15,gfdl
2051,841496580470.3125,n15,gfdl
2052,650688690943.9573,n15,gfdl
2053,1823592187019.285,n15,gfdl
2054,508291286353.22327,n15,gfdl
2055,1226223118828.2676,n15,gfdl
2056,1480641119108.9448,n15,gfdl
2057,2279162334753.795,n15,gfdl
2058,2014417422301.7046,n15,gfdl
2059,1060635422210.4573,n15,gfdl
2060,1404036143634.7832,n15,gfdl
2061,1387238492038.2542,n15,gfdl
2062,1201446695123.9602,n15,gfdl
2063,1099708216082.852,n15,gfdl
2064,1866953363831.3127,n15,gfdl
2065,1302845916960.0066,n15,gfdl
2066,1637684188471.9822,n15,gfdl
2067,896469346959.0579,n15,gfdl
2068,1060938545873.0399,n15,gfdl
2069,1966335432590.6123,n15,gfdl
2070,1841119589285.376,n15,gfdl
2071,1406903963034.337,n15,gfdl
2072,2167276169670.1108,n15,gfdl
2073,1036266896258.0978,n15,gfdl
2074,3141395093542.432,n15,gfdl
2075,1677300558966.3074,n15,gfdl
2076,1422922405878.0273,n15,gfdl
2077,2437020559597.879,n15,gfdl
2078,1020106780611.0093,n15,gfdl
2079,1498135523775.3938,n15,gfdl
2080,726604943130.402,n15,gfdl
2081,1629653482670.963,n15,gfdl
2082,1936892008051.6978,n15,gfdl
2083,2040653850425.8843,n15,gfdl
2084,1708879882136.182,n15,gfdl
2085,1762045237820.6536,n15,gfdl
2086,945428798784.3044,n15,gfdl
2087,1062555287814.977,n15,gfdl
2088,949191926067.5205,n15,gfdl
2089,1589612538334.879,n15,gfdl
2090,2269610939749.1895,n15,gfdl
2091,996865943802.0016,n15,gfdl
2092,535713137144.3816,n15,gfdl
2093,2883485440006.0054,n15,gfdl
2094,2063999438209.7227,n15,gfdl
2095,1480723090728.988,n15,gfdl
2096,1035551986133.4891,n15,gfdl
2097,1475754177296.5337,n15,gfdl
2098,2525419276371.356,n15,gfdl
2099,1634951592964.94,n15,gfdl
2100,1897893411362.2417,n15,gfdl
2031,71328368148.61069,n21,mpi
2032,706945763926.0377,n21,mpi
2033,790371308398.6133,n21,mpi
2034,100445046540.6752,n21,mpi
2035,772939418495.9565,n21,mpi
2036,493484866267.4471,n21,mpi
2037,783091862182.2794,n21,mpi
2038,216610923522.73807,n21,mpi
2039,606891152450.1346,n21,mpi
2040,555447462626.7566,n21,mpi
2041,273470165028.98456,n21,mpi
2042,426819025169.15247,n21,mpi
2043,563243413641.562,n21,mpi
2044,458985473272.04553,n21,mpi
2045,273688463606.27356,n21,mpi
2046,424051212294.4728,n21,mpi
2047,975810727604.179,n21,mpi
2048,334547863711.58673,n21,mpi
2049,448668626166.6476,n21,mpi
2050,1222826647231.7502,n21,mpi
2051,208776267797.3574,n21,mpi
2052,837501008781.2832,n21,mpi
2053,923852523870.4454,n21,mpi
2054,263475583028.9447,n21,mpi
2055,126865477479.38821,n21,mpi
2056,210169143862.85315,n21,mpi
2057,525636182940.2954,n21,mpi
2058,1330526998049.3252,n21,mpi
2059,1199275936190.6292,n21,mpi
2060,157945724786.42706,n21,mpi
2061,631573050263.104,n21,mpi
2062,778062582318.6116,n21,mpi
2063,1073070215917.002,n21,mpi
2064,467696416827.95996,n21,mpi
2065,885434724134.4327,n21,mpi
2066,493216932852.05804,n21,mpi
2067,668964280362.7991,n21,mpi
2068,412424224752.7336,n21,mpi
2069,581005242243.13,n21,mpi
2070,1719885278922.3015,n21,mpi
2071,218935229518.46237,n21,mpi
2072,507946258300.71655,n21,mpi
2073,675710592753.281,n21,mpi
2074,369085757584.3358,n21,mpi
2075,823689534750.06,n21,mpi
2076,1020552456442.5414,n21,mpi
2077,579454316726.9865,n21,mpi
2078,459086131340.2427,n21,mpi
2079,1789227697610.9263,n21,mpi
2080,1310436205634.9487,n21,mpi
2081,1616451303805.0264,n21,mpi
2082,549381141320.99634,n21,mpi
2083,1473644981115.9595,n21,mpi
2084,249236812512.8299,n21,mpi
2085,2205617748806.7163,n21,mpi
2086,888933210147.2437,n21,mpi
2087,685354612691.4683,n21,mpi
2088,1788565024911.999,n21,mpi
2089,1684002698738.5645,n21,mpi
2090,1182815483069.6255,n21,mpi
2091,1653660698190.4526,n21,mpi
2092,721521551808.3917,n21,mpi
2093,418377758335.34534,n21,mpi
2094,1022949864129.9631,n21,mpi
2095,746896442790.032,n21,mpi
2096,1323733723316.8923,n21,mpi
2097,199709515789.83295,n21,mpi
2098,1504998833871.5173,n21,mpi
2099,1540065673404.166,n21,mpi
2100,1417412908242.0386,n21,mpi
2031,143120831055.91107,n21,ipsl
2032,161596273407.3028,n21,ipsl
2033,338143382094.4265,n21,ipsl
2034,291433566886.3707,n21,ipsl
2035,151432523755.17117,n21,ipsl
2036,331737969752.72754,n21,ipsl
2037,227831683132.03998,n21,ipsl
2038,280706413123.201,n21,ipsl
2039,698654154593.743,n21,ipsl
2040,486931944405.51733,n21,ipsl
2041,148940905143.4821,n21,ipsl
2042,298933853072.7333,n21,ipsl
2043,186268847981.34314,n21,ipsl
2044,134777581707.99088,n21,ipsl
2045,96987352405.87598,n21,ipsl
2046,382121996492.6227,n21,ipsl
2047,610186702878.0059,n21,ipsl
2048,325603497333.36743,n21,ipsl
2049,289218745761.1249,n21,ipsl
2050,826448872356.9124,n21,ipsl
2051,646526607307.3213,n21,ipsl
2052,134927414201.18333,n21,ipsl
2053,314517275420.4456,n21,ipsl
2054,166766645866.16248,n21,ipsl
2055,664297867329.1248,n21,ipsl
2056,253817798479.04535,n21,ipsl
2057,524133759918.39514,n21,ipsl
2058,354364413421.77454,n21,ipsl
2059,603488204192.2644,n21,ipsl
2060,370885552910.5589,n21,ipsl
2061,767014869828.7925,n21,ipsl
2062,450501287444.4261,n21,ipsl
2063,1593455234195.9617,n21,ipsl
2064,536232802760.3716,n21,ipsl
2065,443479401780.7742,n21,ipsl
2066,275518409509.37634,n21,ipsl
2067,733601789785.7367,n21,ipsl
2068,487464039195.7444,n21,ipsl
2069,390822266336.9598,n21,ipsl
2070,88058731756.06885,n21,ipsl
2071,253858025701.2344,n21,ipsl
2072,2122944037544.1702,n21,ipsl
2073,453536417139.1433,n21,ipsl
2074,483330011140.34863,n21,ipsl
2075,1033211892927.5428,n21,ipsl
2076,823919065712.7979,n21,ipsl
2077,939899640522.9762,n21,ipsl
2078,1137949653600.4329,n21,ipsl
2079,2149222063252.4019,n21,ipsl
2080,581493750606.1594,n21,ipsl
2081,448590539787.5191,n21,ipsl
2082,2446264000024.8613,n21,ipsl
2083,2198464955235.005,n21,ipsl
2084,1186036998802.747,n21,ipsl
2085,1222695677017.1968,n21,ipsl
2086,628294452231.4648,n21,ipsl
2087,430911937640.2278,n21,ipsl
2088,545090644820.8722,n21,ipsl
2089,1709085276466.9187,n21,ipsl
2090,747991020072.4595,n21,ipsl
2091,1177290575579.9182,n21,ipsl
2092,795769890763.5557,n21,ipsl
2093,2022081933908.9165,n21,ipsl
2094,2773488364121.934,n21,ipsl
2095,533110387963.56555,n21,ipsl
2096,471614460208.75354,n21,ipsl
2097,1725325218946.2476,n21,ipsl
2098,2152434535038.9768,n21,ipsl
2099,1608962836980.4526,n21,ipsl
2100,1015918938311.3599,n21,ipsl
2031,479562139885.2478,n15,mri
2032,106747913042.92938,n15,mri
2033,444001704001.532,n15,mri
2034,839549085291.4958,n15,mri
2035,1325469668454.569,n15,mri
2036,362801969634.19055,n15,mri
2037,538558757809.6072,n15,mri
2038,147744969740.05896,n15,mri
2039,378780805301.4721,n15,mri
2040,1026254927311.3806,n15,mri
2041,751144009357.9841,n15,mri
2042,171211804879.2363,n15,mri
2043,248041260952.68774,n15,mri
2044,489355885164.495,n15,mri
2045,73838492491.59137,n15,mri
2046,225381113374.52002,n15,mri
2047,359525871733.31616,n15,mri
2048,741860289150.6968,n15,mri
2049,668498727019.0574,n15,mri
2050,396134547140.9479,n15,mri
2051,303695773852.2272,n15,mri
2052,459286224643.815,n15,mri
2053,400959049943.3634,n15,mri
2054,222234050912.31235,n15,mri
2055,196627709219.30737,n15,mri
2056,815702163868.2485,n15,mri
2057,411935756448.2294,n15,mri
2058,179570751823.93234,n15,mri
2059,490906085968.5096,n15,mri
2060,539865594574.97845,n15,mri
2061,651848767319.57,n15,mri
2062,361202811046.21716,n15,mri
2063,170656957336.66248,n15,mri
2064,670362246093.3193,n15,mri
2065,243655810553.59332,n15,mri
2066,249884039665.42902,n15,mri
2067,449982545271.3768,n15,mri
2068,382455553482.2324,n15,mri
2069,348262158556.4014,n15,mri
2070,437202167664.64984,n15,mri
2071,327852441457.4648,n15,mri
2072,398847820484.74133,n15,mri
2073,276334284588.25024,n15,mri
2074,615247829811.1182,n15,mri
2075,447744884793.8272,n15,mri
2076,410475296008.3877,n15,mri
2077,454255411776.5521,n15,mri
2078,192998969736.6982,n15,mri
2079,515870164931.67847,n15,mri
2080,404969292658.7055,n15,mri
2081,795927938124.2224,n15,mri
2082,154216506301.52386,n15,mri
2083,306134764922.4231,n15,mri
2084,284872549286.2713,n15,mri
2085,251076693952.66782,n15,mri
2086,551525472422.5912,n15,mri
2087,260965201878.04907,n15,mri
2088,1131513488457.309,n15,mri
2089,388886224352.8969,n15,mri
2090,293010460663.7353,n15,mri
2091,213478739742.68735,n15,mri
2092,448977008096.5343,n15,mri
2093,242815638774.54816,n15,mri
2094,330173338172.3179,n15,mri
2095,358567755617.1003,n15,mri
2096,154672767624.79523,n15,mri
2097,432597627170.3534,n15,mri
2098,528878727997.7498,n15,mri
2099,1449189443269.9597,n15,mri
2100,478121557114.29297,n15,mri
2031,119158489197.14139,n21,gfdl
2032,163971134606.6211,n21,gfdl
2033,190870105763.4683,n21,gfdl
2034,135517235148.19904,n21,gfdl
2035,202017213015.53128,n21,gfdl
2036,602851034062.8771,n21,gfdl
2037,420359557193.35895,n21,gfdl
2038,319497528246.652,n21,gfdl
2039,183453985316.43423,n21,gfdl
2040,156682718466.03873,n21,gfdl
2041,150809136946.0475,n21,gfdl
2042,135570455615.96765,n21,gfdl
2043,120739486761.65451,n21,gfdl
2044,170399775071.87875,n21,gfdl
2045,923276179679.0074,n21,gfdl
2046,347655320428.88293,n21,gfdl
2047,369150664914.85,n21,gfdl
2048,251099940746.20752,n21,gfdl
2049,201857540001.0638,n21,gfdl
2050,130711014678.47934,n21,gfdl
2051,238187581396.48224,n21,gfdl
2052,152185060492.2596,n21,gfdl
2053,580778291427.0815,n21,gfdl
2054,188411444431.53302,n21,gfdl
2055,379683850062.96704,n21,gfdl
2056,433422671351.17017,n21,gfdl
2057,918984265503.0127,n21,gfdl
2058,837834351570.8076,n21,gfdl
2059,279328083395.1176,n21,gfdl
2060,406474401711.58105,n21,gfdl
2061,519811521242.5381,n21,gfdl
2062,342948255863.31757,n21,gfdl
2063,388197614096.2368,n21,gfdl
2064,718830679217.8826,n21,gfdl
2065,458833654673.1414,n21,gfdl
2066,526931285546.8063,n21,gfdl
2067,245097945712.72543,n21,gfdl
2068,374251467754.0818,n21,gfdl
2069,639511075638.8917,n21,gfdl
2070,681037981959.2772,n21,gfdl
2071,446059865130.3544,n21,gfdl
2072,951956641478.7174,n21,gfdl
2073,291220522452.06384,n21,gfdl
2074,1606190927907.2625,n21,gfdl
2075,612684149365.6022,n21,gfdl
2076,398810881307.30554,n21,gfdl
2077,1349429710229.5918,n21,gfdl
2078,202287179799.11432,n21,gfdl
2079,413322441703.9511,n21,gfdl
2080,254160304875.8645,n21,gfdl
2081,554171529169.873,n21,gfdl
2082,634681009307.5406,n21,gfdl
2083,772673605361.2115,n21,gfdl
2084,802638309516.3407,n21,gfdl
2085,1001180459284.4636,n21,gfdl
2086,295693422159.1085,n21,gfdl
2087,328027967120.28424,n21,gfdl
2088,226374066572.56232,n21,gfdl
2089,802410750197.575,n21,gfdl
2090,914824716533.7346,n21,gfdl
2091,290318179974.3749,n21,gfdl
2092,165627183847.48737,n21,gfdl
2093,1434639917578.645,n21,gfdl
2094,1149088253342.624,n21,gfdl
2095,513894749594.87036,n21,gfdl
2096,404243901598.7175,n21,gfdl
2097,621144171598.3618,n21,gfdl
2098,1151599284787.9307,n21,gfdl
2099,551974901303.5305,n21,gfdl
2100,630457817471.5363,n21,gfdl
2031,303175878677.58704,n15,mpi
2032,1801673823606.4795,n15,mpi
2033,1708513653229.2441,n15,mpi
2034,580519656353.8352,n15,mpi
2035,1605258152225.8147,n15,mpi
2036,1101827027950.3608,n15,mpi
2037,1583668892799.2754,n15,mpi
2038,722394215820.1772,n15,mpi
2039,1352196562447.067,n15,mpi
2040,1457173112699.411,n15,mpi
2041,842188856586.6499,n15,mpi
2042,941651937927.2704,n15,mpi
2043,1295432708793.2202,n15,mpi
2044,1307859738197.1172,n15,mpi
2045,881849826063.1565,n15,mpi
2046,1540383425189.0557,n15,mpi
2047,1777061966981.1895,n15,mpi
2048,986755834657.9602,n15,mpi
2049,1324763326714.6562,n15,mpi
2050,2454542934601.3564,n15,mpi
2051,794931321598.0183,n15,mpi
2052,2004556302702.785,n15,mpi
2053,1774014118209.9453,n15,mpi
2054,1076160893587.8558,n15,mpi
2055,589014825014.4524,n15,mpi
2056,728144945491.623,n15,mpi
2057,1391671900289.0464,n15,mpi
2058,2836076052386.075,n15,mpi
2059,2336553057587.7656,n15,mpi
2060,772506085953.9934,n15,mpi
2061,1463982542755.8833,n15,mpi
2062,1675811746244.6855,n15,mpi
