year,area,threshold,model
2031,17945203979078.61,n21,ukesm
2032,45474259664495.82,n21,ukesm
2033,19724883328078.805,n21,ukesm
2034,36415178582637.35,n21,ukesm
2035,3557842690805.38,n21,ukesm
2036,4417031687960.161,n21,ukesm
2037,2279071203434.1504,n21,ukesm
2038,15721791843805.84,n21,ukesm
2039,16034281628342.088,n21,ukesm
2040,21199366470466.168,n21,ukesm
2041,24077449134835.176,n21,ukesm
2042,10845994627334.746,n21,ukesm
2043,5955824387034.26,n21,ukesm
2044,26778880218741.273,n21,ukesm
2045,20892299860213.906,n21,ukesm
2046,36767640595861.79,n21,ukesm
2047,52523999750786.67,n21,ukesm
2048,13631235300170.41,n21,ukesm
2049,9845316318456.254,n21,ukesm
2050,3011163404907.1094,n21,ukesm
2051,13711900947620.691,n21,ukesm
2052,37342823108406.805,n21,ukesm
2053,17193420282409.09,n21,ukesm
2054,62855113626468.4,n21,ukesm
2055,136373041702076.83,n21,ukesm
2056,107884043787877.95,n21,ukesm
2057,57408610332059.59,n21,ukesm
2058,7786680990178.418,n21,ukesm
2059,34499363947342.14,n21,ukesm
2060,75408709674487.34,n21,ukesm
2061,38088499236825.805,n21,ukesm
2062,29200613543022.133,n21,ukesm
2063,31941530753799.2,n21,ukesm
2064,95035120800357.17,n21,ukesm
2065,84619099769424.62,n21,ukesm
2066,71267092142215.72,n21,ukesm
2067,79400827218815.16,n21,ukesm
2068,76401818873569.47,n21,ukesm
2069,37780262365060.94,n21,ukesm
2070,107247299945823.38,n21,ukesm
2071,67732497446757.83,n21,ukesm
2072,64785755960840.28,n21,ukesm
2073,110066615232174.25,n21,ukesm
2074,82270609399490.61,n21,ukesm
2075,60493228786564.77,n21,ukesm
2076,140967968791336.3,n21,ukesm
2077,52620118917347.21,n21,ukesm
2078,115102183269375.44,n21,ukesm
2079,95157003517995.25,n21,ukesm
2080,160073753638759.1,n21,ukesm
2081,108387477708499.31,n21,ukesm
2082,62830793285670.29,n21,ukesm
2083,64247776581649.93,n21,ukesm
2084,137616350668615.84,n21,ukesm
2085,143320463345319.78,n21,ukesm
2086,63522864390605.836,n21,ukesm
2087,124334780008927.48,n21,ukesm
2088,119310231931136.86,n21,ukesm
2089,118733578342469.23,n21,ukesm
2090,163838116860287.6,n21,ukesm
2091,138465811041134.94,n21,ukesm
2092,149482433614070.2,n21,ukesm
2093,89558153520418.03,n21,ukesm
2094,107165748883111.03,n21,ukesm
2095,136803357577680.22,n21,ukesm
2096,196436504969626.06,n21,ukesm
2097,140727370461965.78,n21,ukesm
2098,165007101253976.47,n21,ukesm
2099,128531815474976.39,n21,ukesm
2100,162737561797180.62,n21,ukesm
2031,5577892131797.149,n21,mri
2032,2318784088571.1143,n21,mri
2033,806907188193.7961,n21,mri
2034,1747158669204.1104,n21,mri
2035,7938096717020.184,n21,mri
2036,6681404069792.133,n21,mri
2037,12028194141928.127,n21,mri
2038,8659004844424.167,n21,mri
2039,4276887874366.8433,n21,mri
